regime_encoded,volatility_encoded,conviction_score,impulse,follow_through,confidence,style_encoded,setup_encoded,session_encoded,setup_raw_avg_R,regime_raw_avg_R,ml_probability,predicted_won,won
2,3,4,0.9480296973158511,1.0,0.5,2,1,3,0,0,0.5,1,1
2,3,4,1.2326388888890187,0.75,0.5,2,3,3,0,0,0.5,1,0
2,3,4,1.157407407407455,0.75,0.5,2,3,3,0,0,0.5,1,0
2,3,2,1.1039657020364075,0.25,0.5,3,1,2,0,0,0.5,1,1
2,3,4,1.14955357142858,0.75,0.5,2,1,3,0,0,0.5,1,0
2,3,4,2.185915492957652,0.5,0.5,2,1,3,0,0,0.5,1,1
2,3,4,0.8911159263272439,0.75,0.5,2,2,3,0,0,0.5,1,1
2,3,4,1.0927717700625732,1.0,0.5,2,1,3,0,0,0.5,1,0
2,3,2,0.921678926871437,0.25,0.5,2,1,3,0,0,0.5,1,0
2,3,4,1.2247770999530831,1.0,0.5,2,1,3,0,0,0.5,1,0
2,3,4,0.680373039423453,0.75,0.5,2,3,4,0,0,0.5,1,0
2,3,4,2.028745163073482,0.5,0.5,2,3,3,0,0,0.5,1,1
2,2,2,1.08769931662858,0.25,0.5,2,1,3,0,0,0.5,1,0
2,3,2,1.0537519957424757,0.5,0.5,1,3,1,0,0,0.5,1,0
2,3,2,1.2183020948181256,0.5,0.5,3,1,1,0,0,0.5,1,1
2,3,4,1.7377892030849231,0.75,0.5,1,3,1,0,0,0.5,1,1
2,3,4,1.7377892030849231,0.75,0.5,1,1,1,0,0,0.5,1,0
2,3,2,1.0537519957424757,0.5,0.5,2,2,1,0,0,0.5,1,1
3,3,4,1.6434140336478713,0.5,0.5,1,3,1,0,0,0.5,1,1
3,3,2,1.1430678466076731,0.5,0.5,2,2,1,0,0,0.5,1,0
2,3,4,0.6016209476308688,0.75,0.5,1,2,1,0,0,0.5,1,0
3,3,4,1.6422287390027963,0.5,0.5,2,2,1,0,0,0.5,1,1
3,3,4,1.6273684210525086,0.25,0.5,2,2,1,0,0,0.5,1,1
3,3,4,1.6422287390027963,0.5,0.5,2,2,1,0,0,0.5,1,1
3,3,4,1.6273684210525086,0.25,0.5,2,2,1,0,0,0.5,1,1
2,3,2,1.1721878412813749,0.5,0.5,2,2,1,0,0,0.5,1,1
2,3,4,0.8627898137590875,0.75,0.5,1,1,1,0,0,0.5,1,1
2,3,4,0.7734589713388984,1.0,0.5,1,3,1,0,0,0.5,1,0
2,3,4,1.0229007633588187,0.75,0.5,2,1,1,0,0,0.5,1,1
2,3,4,0.7734589713388984,1.0,0.5,2,3,1,0,0,0.5,1,0
1,3,4,0.7151515151515079,1.0,0.5,1,3,1,0,0,0.5,1,0
1,3,4,0.807920792079253,1.0,0.5,1,1,1,0,0,0.5,1,1
1,3,4,0.8647540983606661,0.75,0.5,1,3,1,0,0,0.5,1,1
1,3,4,0.8647540983606661,0.75,0.5,1,1,1,0,0,0.5,1,0
1,3,4,0.8647540983606661,0.75,0.5,2,3,1,0,0,0.5,1,1
1,3,4,0.9549180327869073,0.75,0.5,2,1,1,0,0,0.5,1,0
2,3,4,0.8023872679044789,0.75,0.5,1,3,2,0,0,0.5,1,1
2,3,4,0.831424644983934,0.75,0.5,1,2,2,0,0,0.5,1,0
2,3,4,0.9999999999999881,1.0,0.5,1,1,2,0,0,0.5,1,0
2,3,4,1.1648936170213366,0.75,0.5,1,3,2,0,0,0.5,1,1
2,3,4,0.9453471196455226,0.75,0.5,2,3,2,0,0,0.5,1,1
2,3,4,0.8878326996198534,0.75,0.5,2,1,1,0,0,0.5,1,1
2,3,4,0.7559880239521471,1.0,0.5,1,3,2,0,0,0.5,1,1
2,3,4,0.7559880239521471,1.0,0.5,2,3,2,0,0,0.5,1,1
2,3,4,0.7559880239521471,1.0,0.5,2,1,2,0,0,0.5,1,0
2,3,4,0.89590885551523,0.75,0.5,1,3,2,0,0,0.5,1,1
2,3,4,0.9528851244044291,0.75,0.5,1,3,2,0,0,0.5,1,0
2,3,4,0.9438332368268657,0.75,0.5,1,1,2,0,0,0.5,1,0
2,3,4,1.0005224660396832,0.75,0.5,2,1,2,0,0,0.5,1,0
2,3,2,0.9627156371731503,0.5,0.5,1,1,2,0,0,0.5,1,1
2,3,4,0.9982788296041976,0.75,0.5,1,3,2,0,0,0.5,1,0
2,3,2,0.9627156371731503,0.5,0.5,2,1,2,0,0,0.5,1,1
2,3,4,1.0862262038073225,1.0,0.5,3,1,3,0,0,0.5,1,0
2,3,2,0.9280615046678671,0.5,0.5,3,3,3,0,0,0.5,1,0
3,3,4,1.6448801742920405,0.75,0.5,3,2,1,0,0,0.5,1,0
2,3,4,1.3030998851894047,0.75,0.5,1,1,2,0,0,0.5,1,0
2,3,4,0.640301318267406,0.75,0.5,1,3,2,0,0,0.5,1,0
2,3,4,0.6778476589796875,0.75,0.5,1,1,2,0,0,0.5,1,0
2,3,2,0.6503198294243061,0.25,0.5,2,1,2,0,0,0.5,1,0
2,2,4,1.0148285449491412,0.75,0.5,1,1,2,0,0,0.5,1,0
2,3,2,0.9662808253649136,0.5,0.5,2,2,2,0,0,0.5,1,0
2,2,2,1.3206627680312957,0.5,0.5,2,1,2,0,0,0.5,1,1
2,3,4,1.3518352730530894,1.0,0.5,1,3,2,0,0,0.5,1,1
2,3,4,1.4567901234567915,1.0,0.5,2,2,2,0,0,0.5,1,0
2,2,4,0.8284023668638616,0.75,0.5,2,1,2,0,0,0.5,1,0
2,3,4,1.0254372019078017,1.0,0.5,1,3,2,0,0,0.5,1,0
2,1,4,0.9167404782992541,0.75,0.5,2,1,2,0,0,0.5,1,0
2,3,4,0.8023872679044789,0.75,0.5,2,1,2,0,0,0.5,1,1
2,2,4,0.8688245315161509,0.75,0.5,2,1,2,0,0,0.5,1,0
2,3,4,1.068991660348825,0.75,0.5,2,1,2,0,0,0.5,1,1
2,2,4,0.8650362318841652,0.75,0.5,2,3,3,0,0,0.5,1,0
2,2,4,0.8051948051949301,0.75,0.5,2,1,3,0,0,0.5,1,0
2,3,4,1.068991660348825,0.75,0.5,2,1,2,0,0,0.5,1,1
2,2,4,0.8525576730187524,1.0,0.5,2,1,3,0,0,0.5,1,1
2,2,2,0.6320754716982403,0.5,0.5,2,1,3,0,0,0.5,1,0
3,1,4,1.1936339522546964,1.0,0.5,2,1,4,0,0,0.5,1,1
3,3,4,1.4294478527606755,0.75,0.5,2,1,4,0,0,0.5,1,1
2,2,4,0.9366262814539413,0.75,0.5,3,1,2,0,0,0.5,1,1
3,2,4,1.255792400370629,1.0,0.5,1,3,1,0,0,0.5,1,1
3,3,6,1.8439716312055519,0.75,0.5,1,3,1,0,0,0.5,1,1
3,3,6,1.8439716312055519,0.75,0.5,2,3,1,0,0,0.5,1,1
3,2,4,1.255792400370629,1.0,0.5,2,1,1,0,0,0.5,1,0
3,2,4,1.255792400370629,1.0,0.5,2,1,1,0,0,0.5,1,0
2,3,4,1.463143872113725,0.75,0.5,1,2,1,0,0,0.5,1,1
2,3,4,0.7849293563578966,0.75,0.5,1,1,1,0,0,0.5,1,0
2,3,2,0.7857142857142607,0.5,0.5,2,2,1,0,0,0.5,1,0
2,3,4,0.9190590111642571,0.75,0.5,1,2,1,0,0,0.5,1,0
2,3,2,1.2006578947368285,0.5,0.5,2,2,1,0,0,0.5,1,1
2,3,4,0.9254498714653339,1.0,0.5,1,3,1,0,0,0.5,1,0
2,3,4,0.9254498714653339,1.0,0.5,1,1,1,0,0,0.5,1,1
2,3,4,0.9259259259259391,0.75,0.5,2,1,1,0,0,0.5,1,0
3,3,4,1.3307823129251564,0.75,0.5,1,3,2,0,0,0.5,1,1
1,3,4,1.334773218142495,0.75,0.5,1,1,2,0,0,0.5,1,0
1,3,2,1.2695725772323259,0.5,0.5,1,3,2,0,0,0.5,1,1
3,3,4,1.6551426101985391,0.5,0.5,3,2,1,0,0,0.5,1,1
1,3,2,1.2695725772323259,0.5,0.5,2,3,2,0,0,0.5,1,1
2,3,2,1.018480492813237,0.5,0.5,2,2,2,0,0,0.5,1,0
2,3,4,1.07945425361154,0.75,0.5,2,3,1,0,0,0.5,1,1
